stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
863,StaVilOB,State @ Village East,STATE ST & STAFFORD LN NE,44.927911,-122.976357,,,,,,0
864,StaDraOB,State @ Draper,STATE ST & 46TH AV SE,44.927951,-122.970971,,,,,,0
865,Stat47OB,State @ 47th,STATE ST & 47TH AV NE,44.928006,-122.967149,,,,,,0
866,StaCouOB,State @ Cougar,STATE ST & COUGAR CT SE,44.928002,-122.96455,,,,,,0
869,Penn47OB,Pennsylvania @ 47th Pl,PENNSYLVANIA AV SE & 47TH PL SE,44.922193,-122.964813,,,,,,0
870,Penn46OB,Pennsylvania @ 46th,PENNSYLVANIA AV SE & 46TH AV SE,44.92066,-122.968833,,,,,,0
875,LanMunSB,Lancaster @ Munkers,LANCASTER DR SE & MUNKERS ST SE,44.916039,-122.980505,,,,,,0
876,LanCarSB,Lancaster @ Carson,LANCASTER DR SE & CARSON DR SE,44.909752,-122.978595,,,,,,0
877,LanMedSB,Lancaster @ Meadowlark MHP,LANCASTER DR SE & EDEN ST SE,44.902865,-122.97321,,,,,,0
878,LanMedNB,Lancaster @ Meadowlark MHP,LANCASTER DR SE & EDEN ST SE,44.902874,-122.973109,,,,,,0
879,LanSunNB,Lancaster @ Sylvia (Sundial Mobile Home Park),LANCASTER DR SE & UNNAMED ST,44.90646,-122.977215,,,,,,0
880,LanMunNB,Lancaster @ Munkers,LANCASTER DR SE & MUNKERS ST SE,44.915635,-122.980289,,,,,,0
881,LanMacNB,Lancaster @ Macleay,LANCASTER DR SE & HAGER ST SE,44.918278,-122.980951,,,,,,0
895,StaHawIB,State @ Hawthorne,STATE ST & HAWTHORNE AV NE,44.928048,-122.994463,,,,,,0
896,StaAirIB,State @ Airport Rd,STATE ST & AIRPORT RD SE,44.929587,-123.004014,,,,,,0
897,Stat25IB,State @ 25th,STATE ST & 25TH ST SE,44.932311,-123.008939,,,,,,0
898,Stat24Ib,State @ 24th,STATE ST & 24TH ST SE,44.932989,-123.011314,,,,,,0
899,Stat23IB,State @ 23rd,STATE ST & 23RD ST NE,44.933711,-123.014113,,,,,,0
900,Stat21IB,State @ 21st,STATE ST & 21ST ST NE,44.934259,-123.016212,,,,,,0
901,Stat17IB,State @ 17th,STATE ST & 17TH ST NE,44.93528,-123.019961,,,,,,0
902,LanMacSB,Lancaster @ Macleay,LANCASTER DR SE & HAGER ST SE,44.917947,-122.981199,,,,,,0
908,Miss17OB,Mission @ 17th,MISSION ST SE & 17TH ST SE,44.928525,-123.022812,,,,,,0
909,Miss20OB,Mission @ 20th,MISSION ST SE & 20TH ST SE,44.926508,-123.020243,,,,,,0
